country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,Case_Fatality_Rate_Percent,Recovery_Rate_Percent,Testing_Rate_Percent
Afghanistan,Asia,179267,7690.0,162202.0,9375.0,1124.0,4420,190.0,951337.0,23455.0,40560636,4.2896907964098245,90.48067965660161,2.3454686460044663
Albania,Europe,275574,3497.0,271826.0,251.0,2.0,95954,1218.0,1817530.0,632857.0,2871945,1.2689876403434286,98.63992974663792,63.28568269935532
Algeria,Africa,265816,6875.0,178371.0,80570.0,6.0,5865,152.0,230861.0,5093.0,45325517,2.586375537966112,67.10318415746231,0.5093400258401907
Andorra,Europe,42156,153.0,41021.0,982.0,14.0,543983,1974.0,249838.0,3223924.0,77495,0.3629376601195559,97.30761931872094,322.3924124137041
Angola,Africa,99194,1900.0,97149.0,145.0,0.0,2853,55.0,1499795.0,43136.0,34769277,1.9154384337762362,97.93838336996188,4.313563954752352
Anguilla,North America,2984,9.0,2916.0,59.0,4.0,195646,590.0,51382.0,3368870.0,15252,0.30160857908847183,97.72117962466488,336.88696564385
Antigua And Barbuda,North America,7721,137.0,7511.0,73.0,1.0,77646,1378.0,18901.0,190076.0,99439,1.7743815567931613,97.28014505893019,19.00763282012088
Argentina,South America,9101319,128729.0,8895999.0,76591.0,372.0,197992,2800.0,35716069.0,776974.0,45968174,1.4143993854077634,97.74406325061236,77.69738471665201
Armenia,Asia,422896,8623.0,412048.0,2225.0,0.0,142219,2900.0,3068217.0,1031834.0,2973558,2.039035602133858,97.43483031289017,103.18335811845607
Aruba,North America,35693,213.0,35199.0,281.0,0.0,331689,1979.0,177885.0,1653053.0,107610,0.5967556663771608,98.61597512117221,165.3052690270421
Australia,Australia/Oceania,6593795,7794.0,6199822.0,386179.0,129.0,253112,299.0,70885598.0,2721042.0,26050899,0.11820203691500872,94.02509480504018,272.1042294931933
